# Bundesland;Name des Betriebs ;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH;CP;SH;CP;GHE;CP;MM;MP;MSM;PP;CC;PP;CC;PP;CC;PP;CC;PP;CC;PP;EPC;LEP;PP;AH;FV;ZV;FFPP;PP;WM;PC;DC;PP;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;
HE;Landmetzgerei Heck, Inh. Johannes Bleich;Raue Gass 4;35075 Gladenbach;;HE 20175;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landmetzgerei Hedderich;Außerhalb 29;65468 Trebur;;HE 10174;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landmetzgerei in Gerterode;Erlenweg 3;36251 Ludwigsau;;HE 30215;;;;;B, O, P, C;B, O, P, C;;;;;;;;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landmetzgerei Kratz;Forst Straße 5-7;64521 Groß-Gerau;;HE 10197;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landmetzgerei Martin Fröhlich;Ägidienstraße 4;36100 Petersberg;;HE 30371;;;;;;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landmetzgerei Reuling, Inhaber Tobias Reuling;Kirchstraße 3;64832 Babenhausen;;HE 10391;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landmetzgerei Schneider GmbH;Werkstraße 28;65599 Dornburg-Dorndorf;;HE 20170;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landmetzgerei Spielmann;Lange Straße 27;34359 Reinhardshagen;;HE 30127;;;;;B, P;S, B, O, P, C;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landmetzgerei Udo Lenk;Am Mühlrain 5;63584 Gründau;;HE 10343;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landmetzgerei Urich, Inhaber: Steffen Urich;Schloßplatz 11;64732 Bad König;;HE 10243;;;;;B;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landmetzgerei Vollrath, Inhaber Armin Vollrath;Hauptstraße 47;64678 Lindenfels;;HE 10247;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landmetzgerei Wolfgang Beck;Alte Dorfstraße 28;61137 Schöneck;;HE 10285;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landschlachterei Heiko Bohm;Ringbachstraße 17;36199 Rotenburg a.d. Fulda;;HE 30217;;;;;O, P, C;O, P, C;;;;;wU, wG;wU, wG;;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landwirtschaft Dorsch;Eckeberg 2;36205 Sontra;;HE 31026;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Landwirtschaftliche Selbstvermarktung Erlenhof, Inhaber Andreas Krieger;Hauptstraße 8;63628 Bad Soden-Salmünster;;HE 10342;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Weinberghof R. & T. Schmid GbR, Geschäftsführer Rudolf und Thomas Schmidt;Weinbergstraße 18;63477 Maintal;;HE 10339;;;;;;;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landmetzgerei Pomnitz;Kreuzbergstraße 25a;36167 Nüsttal;;HE 30296;;;;;B, O, P;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Lebenshilfe-Werk Kreis Waldeck-Frankenberg e. V. Hofgut Rocklinghausen;Hofgut Rocklinghausen 1;34477 Twistetal;;HE 30274;;;;;;B, P;;;;;;;B, P;;;mp;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Leffringhausen GmbH & Co. KG;k.a. 0;34466 Wolfhagen;;HE 30183;;;;;B, P;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Mustergeflügelhof Leonhard Häde GmbH;Lützelfeld 14;36211 Alheim;;HE 31003;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;
HE;Lindenhof, Inhaber Thomas Ströll;Reifenberger Straße 18;65719 Hofheim am Taunus;;HE 10311;;;;;O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Lohnschlachtung und Viehhandlung mit Wildbearbeitung Volker Eurich;Reichenbachstraße 3;63636 Brachttal;;HE 10239;;;;;B, O, P;;;;fG;fG;wL, wU, wG, wA;wL, wU, wG, wA;;B, P, wL, wU;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
