Script,OFF Taxonomy,FR,EU,url,Date
No,Others,Liste des Laboratoires nationaux de référence,List of national reference laboratories,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/LABO2_LAB_AGRE.pdf,10/10/15
No,Others,Liste des Laboratoires nationaux de référence,List of national reference laboratories,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/LABO2_LAB_AGRE.txt,10/10/15
No,Others,Liste des centres de collecte de sperme agréés pour échanges intracommunautaires de sperme d'animaux domestiques de l'espèce équine,List of approved semen collection centres for intra-Community trade in semen of domestic animals of the equinespecies,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA1_AGCTCLSPEQUE.pdf,10/10/15
No,Others,Liste des centres de collecte de sperme agréés pour échanges intracommunautaires de sperme d'animaux domestiques de l'espèce équine,List of approved semen collection centres for intra-Community trade in semen of domestic animals of the equinespecies,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA1_AGCTCLSPEQUE.txt,10/10/15
No,Others,"Centres de rassemblement agréés pour échanges intracommunautaires bovins & porcins, équidés, ovins & caprins","Assembly centres approved for intra-Community trade in bovine & swine,equidae,ovine & caprine animals",https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA1_AGRCENTRASS.pdf,10/10/15
No,Others,"Centres de rassemblement agréés pour échanges intracommunautaires bovins & porcins, équidés, ovins & caprins","Assembly centres approved for intra-Community trade in bovine & swine,equidae,ovine & caprine animals",https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA1_AGRCENTRASS.txt,10/10/15
No,Others,Liste des parcs zoologiques agréés,,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA1_AGRSNTZOO.pdf,10/10/15
No,Others,Liste des parcs zoologiques agréés,,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA1_AGRSNTZOO.txt,10/10/15
No,Others,Centres de collecte de sperme agréés pour les échanges intracommunautaires de sperme d'animaux domestiques de l'espèce bovine,Approved semen collection centres for intra-Community trade in semen of domestic animals of the bovine species,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA1_XXX_AGR_CTST_BV.pdf,10/10/15
No,Others,Centres de collecte de sperme agréés pour les échanges intracommunautaires de sperme d'animaux domestiques de l'espèce bovine,Approved semen collection centres for intra-Community trade in semen of domestic animals of the bovine species,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA1_XXX_AGR_CTST_BV.txt,10/10/15
No,Others,Liste des établissements agréés salmonelle pour la production d'aliments pour animaux,,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA2_AGRSALMO_VAL.pdf,10/10/15
No,Others,Liste des établissements agréés salmonelle pour la production d'aliments pour animaux,,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA2_AGRSALMO_VAL.txt,10/10/15
No,Others,Liste des établissements et des zones conchylicoles agréés CE zoo-sanitaire,List of shellfish production business and authorised processing etablishments,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA2_AG_ZOOSAN_CONCH.pdf,10/10/15
No,Others,Liste des établissements et des zones conchylicoles agréés CE zoo-sanitaire,List of shellfish production business and authorised processing etablishments,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA2_AG_ZOOSAN_CONCH.txt,10/10/15
No,Others,Liste des fermes aquacoles disposant d'un agrément zoo-sanitaire,,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA2_AG_ZOOSAN_FRM_AQUA.pdf,10/10/15
No,Others,Liste des fermes aquacoles disposant d'un agrément zoo-sanitaire,,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA2_AG_ZOOSAN_FRM_AQUA.txt,10/10/15
No,Others,Liste des établissements enregistrés au titre de l'arrêté ministériel du 28 février 2000,,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA2_ENRAM2802200_VAL.pdf,10/10/15
No,Others,Liste des établissements enregistrés au titre de l'arrêté ministériel du 28 février 2000,,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA2_ENRAM2802200_VAL.txt,10/10/15
No,Others,Liste des transporteurs agréés de type 2,,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA2_TRANSPORTEUR_TYPE2.pdf,10/10/15
No,Others,Liste des transporteurs agréés de type 2,,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA2_TRANSPORTEUR_TYPE2.txt,10/10/15
No,Others,Liste des établissements enregistrées au titre du Règlement (CE) n°183/2005,,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA3_ERCE183_VAL.pdf,10/10/15
No,Others,Liste des établissements enregistrées au titre du Règlement (CE) n°183/2005,,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA3_ERCE183_VAL.txt,10/10/15
No,Others,Utilisateurs de sous-produits animaux et produits dérivés autorisés pour l'alimentation d'autres animaux sauvages,Use for other wild animals,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_AUTANIMSAUVA.pdf,10/10/15
No,Others,Utilisateurs de sous-produits animaux et produits dérivés autorisés pour l'alimentation d'autres animaux sauvages,Use for other wild animals,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_AUTANIMSAUVA.txt,10/10/15
No,Others,Utilisateurs de sous-produits animaux et produits dérivés autorisés à d'autres fins au titre des articles 17.1. et 18.1 et 2,"Other uses, Articles 17(1), 18(1) and 18(2) of Regulation (EC) N°1069/2009, which are registered in accordance with Article 23 of Regulation (EC) N°1069/2009",,10/10/15
No,Others,"Utilisateurs de sous-produits animaux et produits dérivés autorisés à des fins d'exposition, artistiques, de diagnostic, d'éducation ou de recherche","Use for diagnostic, educational and research purposes, Articles 7(1) of Regulation (EC) 1069/2009, which are registered in accordance with Article23",https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_AUTEXPORECHE.pdf,10/10/15
No,Others,Utilisateurs de sous-produits animaux et produits dérivés autorisés pour l'alimentation des oiseaux nécrophages (Art. 18 - 1.e et 18. - 2 ,"Use for necrophagous birds, Articles 18(1) and 18(2) of Regulation (EC) N°1069/2009, which are registered in accordance with Article 23",https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_AUTNECROPHAG.pdf,10/10/15
No,Others,"Utilisateurs pour l'alimentation de reptiles, rapaces autres que ceux de zoo ou cirque (Art.18-1c), animaux à fourrure (Art.18-1d), chiens d'élevage ou meutes (Art.18-1f), chiens ou chats en refuge (Art.18-1g) ou le nourrissage d'asticots et vers comme appâts (Art.18-1h)",Other special feeding use,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_AUTREPRAPACE.pdf,10/10/15
No,Others,Utilisateurs de sous-produits animaux et produits dérivés autorisés pour l'alimentation d'animaux de zoo (Art. 18 - 1. - a) et de cirque (Art. 18 - 1. - b),"Use for zoo/circus animals, Articles 18(1) of Regulation (EC) N°1069/2009, which are registered in accordance with Article 23",https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_AUTZOO.pdf,10/10/15
No,Others,Etablissements ou usines manipulant des sous-produits animaux ou des produits dérivés pour des usages en dehors de l'alimentation animale : Sous-produits de l'apiculture/,Apiculture by-products (Article 23 of Regulation (EC) N°1069/2009),https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA5_ENRAPICULTUR.pdf,10/10/15
