Resultat der Anfrage

Treffer: 3570
Sektion 0 285 Treffer

Bew.Nr.;BURNR;Name;Strasse;PLZ;Ort/Kanton;Kategorie;weitere Aktivitäten;Spezies;Bem.;
70219025;70219025;Schlachthaus Interlaken;Unt. Bönigstrasse 38;3800;Interlaken BE;SH;;B, C, O, P, S;;
70425416;70425416;Signer-Frick Peter;Peter Signer-Frick Unterdorf 20;9105;Schönengrund AR;SH; SH (II),  SH (III),  CP (IV);B, C, O, P, S;;
70431645;70431645;Schlachthaus Wegenstetten;Bachstrasse 2;4317;Wegenstetten AG;SH; SH (II),  SH (III);B, C, O, P, S;;
70445365;78376194;Suter Viandes SA;Rue Blavignac 5;1227;Carouge GE GE;CP; CP (II),  MM (V),  MP (V);B, C, O, P, S;;
70447865;70447865;Karl Koller Schlachtbetrieb;Sonnhaldenstrasse 1;8370;Sirnach TG;SH;;B, C, O, P;;
70448460;70448460;Schlachthof Dürrbach;Gassenscheuer ;3099;Rüti b. Riggisberg BE;SH;;B;;
70448701;70448701;E. Zimmermann Schlachtbetrieb;Hauptstrasse 23;9502;Braunau TG;SH;;B, C, O, P;;
70593591;70593591;Schlachtanlage Bellikon;Mutschellenstrasse 19;5454;Bellikon AG;SH;;B, C, O, P, S;;
70593633;70593633;Rolf Vögele;Gibriststrasse 10;5317;Hettenschwil AG;SH;;B, C, O, P, S;;
70593738;70593738;Kurt Niederer Schlachthausgem. Heiden;Brunnhaldenstrasse 5;9410;Heiden AR;SH; SH (II),  SH (III),  CP (IV);B, C, O, P, S;;
70593921;70593921;Abattoir de Meinier;Chemin du Stade 5;1252;Meinier GE;SH;;B, C, O, P;;
70594726;70594726;Abattoirs de Préfargier;Rue du Pré-aux-Andins 8;2074;Marin-Epagnier NE;SH;;C, O;;
70594752;70594752;Schlachthausverein Hausen/Kappel/Rifferswil AG;ARA Hausen ;8915;Hausen am Albis ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70599504;70599504;Ernst Schwarzer;Dorfstrasse 53;8468;Guntalingen ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70600311;70600311;Viehverwertung Fischenthal;Oberhof ;8497;Fischenthal ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70600421;70600421;Schlachthausverein Arn;Arn 527;8810;Horgen ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70600861;70600861;IG Schlachtlokal ob. Schwanden;Obere Schwanden ;8833;Samstagern ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70601095;70601095;Fritschi Reinhard & Keller Oskar  Tierhaltergemeinschaft;Bergstrasse 5;8416;Flaach ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70601121;70601121;Meinrad Achermann;Industriestrasse ;8627;Grüningen ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70602565;70602565;Macelleria & Salumeria Lardi Schlachtanlage;Casa ;7746;Le Prese GR;SH; SH (III);B, C, O, P, S;;
70602570;70602570;Heinrich Dütschler Metzgerei und Schlachtanlage;Dorfstrasse 14;7405;Rothenbrunnen GR;SH; SH (III);B, C, O, P, S;;
70602591;70602591;Schlacht- und Zerlegebetrieb Devonas;La Nois ;7472;Surava GR;SH; SH (III);B, C, O, P, S;;
70602607;70602607;Schlachtlokal Tschuppina;Tschuppina 47;7165;Breil/Brigels GR;SH; SH (III);B, C, O, P, S;;
70602612;70602612;Gemeinde Schluein Schlachtanlage Gemeinde Schluein;Werkhof ;7151;Schluein GR;SH; SH (III);B, C, O, P, S;;
70603155;70603155;Schlachthausverein Hinwil/Wetzikon;Wildbachstrasse ;8340;Hinwil ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70603202;70603202;Gemeinde Jenins Gemeindeschlachtlokal;Oberdorf ;7307;Jenins GR;SH; SH (III);B, C, O, P, S;;
70603223;70603223;Landwirtschaftliche Konsumgen Ringgenberg & Umgebung (Graub.) Schlachtanlage Zignau; ;7167;Zignau GR;SH; SH (III);B, C, O, P, S;;
70626812;70626812;Gebr. Jucker Metzgerei AG Schlachthaus;Töbelistrasse ;8483;Kollbrunn ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70626875;70626875;Martin Bieri Schlachthof;MZG Huebwis ;8492;Wila ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70637222;70637222;Lucarna Macana AG Zerlegebetrieb;Wildbachstrasse 20;8340;Hinwil ZH;CP; PP (VI);B, C, O, P, S;;
70637238;70637238;SBZ Schlachtbetrieb Zürich AG;Herdernstrasse 63;8004;Zürich ZH;CP;;B, C, O, P, S;;
70637243;70637243;Moser Fleischhandel AG Zerlegebetrieb;Herdernstrasse 61;8004;Zürich ZH;CP; PP (VI);B, C, O, P, S;;
70649579;70649579;Verein Schlachtlokal Gundetswil;Bertschikonerstrasse 3;8546;Gundetswil ZH;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
70654207;70654207;VVK Wynigen;Schlachtanlage, Bleumatte ;3472;Wynigen BE;SH;;B, C, O, P;;
70656927;70656927;Luginbühl Heinrich;Postgasse 2;3665;Wattenwil BE;SH;;B, C, O, P;;
70657648;70657648;Schlachtanlage Stettler GmbH;Metzgerei ;3054;Schüpfen BE;SH;;B, C, O, P;;
70658243;70658243;Marolf Bruno;Oberdorf 43;3272;Epsach BE;SH;;B, C, O;;
70658369;70658369;Nyffeler SA Boucherie;Rue du Clos 4;2740;Moutier BE;SH;;B, C, O, P;;
70658374;70658374;Lüthi AG;Dänzer H.R., Lüthi AG/Dorfstr. 33;3421;Lyssach BE;SH;;B, C, O, P;;
70660221;70660221;Schwab-Amstutz Jean-Jacques;Route principale 7, Boucherie ;2612;Cormoret BE;SH;;B, C, O, P;;
70660420;70660420;Einwohnergemeinde Oberlangenegg;- ;3616;Schwarzenegg BE;SH;;B, C, O, P;;
70660483;70660483;Abattoir Nods Daniel Sauser;Route de Diesse  17;2518;Nods BE;SH;;B, C, O, P;;
70660609;70660609;Schlachtanlage Annen;- ;3785;Gsteig b. Gstaad BE;SH;;B, C, O, P;;
70660703;70660703;Schlachtanlage Landi Leuzigen zH. Präsident;Leuzigen ;3297;Leuzigen BE;SH;;B, C, O, P;;
70664247;70664247;Boss Hans;Dorfstrasse ;3818;Grindelwald BE;SH; SH (III);B, C, O, P;;
70664336;70664336;Anstalten Witzwil Amt für Freiheitsentzug Bet. des K. Bern, Schlachtanlage;Lindenhof  41;3236;Gampelen BE;SH;;B, P;;
70664540;70664540;Gemeindeverwaltung Büetigen;Hauptstr. 14;3263;Büetigen BE;SH; SH (II),  SH (III);B, C, O, P;;
70677974;70677974;René Klausner;Oberfeldstrasse 2;6037;Root LU;SH;;B, C, O, P, S;;
70678056;70678056;VVK Seedorf;Herrn Schori Ernst ;3267;Seedorf BE BE;SH;;B, C, O, P;;
70678276;70678276;Loosli Otto;Ottenhusen 8;6275;Ballwil LU;SH;;B, C, O, P, S;;
70678957;70678957;Schlachthaus Gamsen; ;3900;Brig VS;SH;;B, C, O, P, S;;
70682712;70682712;Ortsgemeinde Schänis Schlachtanlage;Oberdörfli ;8723;Rufi SG;SH;;B, C, O, P, S;;
70687422;70687422;Notschlachtlokal Diegten Schlachtanlage;Zälghagweg 55;4457;Diegten BL;SH;;B, C, O, P;;
70736226;70736226;Schärer & Julmy GmbH;Sensebrücke ;3175;Flamatt FR;SH; SH (III);B, C, O, P, S;;
70745959;70745959;Meli Ignaz;Weisstannenstrasse ;8887;Mels SG;SH;;B, C, O, P, S;;
71013706;71013706;Abattoir de la commune;Les Granges ;1922;Salvan VS;SH;;B, C, O;;
71231123;71231123;Abattoir Communal;La Corçaline ;1082;Corcelles-le-Jorat VD;SH;;;;
71467260;71467260;Tellenbach-König Kurt;Regenhaldenstrasse 29;3365;Grasswil BE;SH;;B, C, O, P;;
71467784;71467784;Schlachtlokal Gerber;Hüsimättli 61b ;3623;Horrenbach BE;SH;;B, C, O, P;;
71468070;71468070;Inforama Schwand;Schwand ;3110;Münsingen BE;SH;;B, C, O, P;;
71470588;71470588;Massnahmezentrum St. Johannsen;Schlachthaus ;3238;Gals BE;SH; SH (III);B, C, O, P, S;;
71511286;71511286;Schlachthof; ;3907;Simplon Dorf VS;SH;;B, C, O, P;;
71689667;71689667;Roland Baumgartner Schlachthaus & Verarbeitung; ;9451;Kriessern SG;SH;;B, C, O, P, S;;
72036804;72036804;Notschlachthaus Oberbussnang;Spitzackerstrasse 2 ;9565;Bussnang TG;SH; SH (II),  GHE (IV);B, C, O, P;;
72066285;72066285;Mérat & Cie SA;Route de Carrouge 20;1509;Vucherens VD;CP; CS (0),  PP (VI);B, O, P, S;;
72355484;72355484;Carnosa AG;Gaswerkstrasse 76;4900;Langenthal BE;CP; RW (0),  WM (0),  CP (II),  CP (III),  MP (V),  PP (VI);B, C, O, P, S;;
72811478;72811478;Birlik Döner Produktion GmbH;Nidfeldstrasse 1;6010;Kriens LU;CP; CP (II),  MP (V);B, O;;
73006523;73006523;Metzgerei Würmli AG Fleischverarbeitung;Juchstrasse 29;8500;Frauenfeld TG;CP; CS (0),  RW (0),  WM (0),  CP (II),  MM (V),  MP (V),  MSM (V),  PP (VI);B, O, P, S;;
73044356;73044356;Etabl.de la Plaine de l'orbe;La Colonie ;1350;Orbe VD;SH;;;;
73200196;73200196;Metzgerei Oberau Zizers GmbH;Oberauweg  4;7205;Zizers GR;SH; SH (III),  GHE (IV);B, C, O, P, S;;
73221400;73221400;Maître Brönnimann Sàrl Le Boucher de la Gastronomie;Route de Satigny 60;1217;Meyrin GE;CP; CP (II),  CP (III),  CP (IV),  MM (V),  MP (V);B, C, O, P, S;;
74136186;74136186;Metzgerei Zemp;Gewerbering 9;6018;Buttisholz LU;SH;;B, C, O, P;;
74342247;74342247;Carnatira Janki SA;San Clau 101A ;7156;Rueun GR;SH; SH (II),  SH (III),  GHE (IV);B, C, O, P, S;;
74582595;74582595;Micarna SA;Pfingstweidstrasse  101;8005;Zürich ZH;CP; MM (V),  MP (V),  PP (VI);B;;
77315719;77315719;La Campagnarde Sàrl;Rue Du Carroz 12 ;1071;Chexbres VD;SH;;;;
77930024;77930024;Schlachtanlage Jegerlehner;Birchi ;3068;Utzigen BE;SH;;B, C, O, P;;
78490002;78490002;Suttero, Ernst Sutter AG;Neue Industriestrasse 60;9602;Bazenheid SG;CP; CS (0),  RW (0),  MM (V),  MP (V),  PP (XIII);B, O, P;;
78556103;78556103;Schlachtbetrieb Visperterminen; ;3932;Visperterminen VS;SH;;B, C, O;;
78556103;78556103;Schlachtbetrieb Visperterminen; ;3932;Visperterminen VS;SH;;B, C, O;;
79432379;79432379;Mérat & Cie. AG;Rue des Finettes 45;1920;Martigny VS;CP; RW (0),  MM (V),  MP (V);B, C, O, P;;
80464541;80464541;Schlachthof Hubert Wiederkehr;Hofmatt 186;5072;Oeschgen AG;SH;;B, C, O, P, S;;
82179486;82179486;Grande Boucherie du Molard SA;Rue du Champ-Blanchod  13;1228;Plan-les-Ouates GE;CP; CP (II),  CP (IV),  MM (V),  MP (V);B, C, O, P, S;;
85808642;85808642;Chez Robert SA;Route du Simplon 7;1906;Charrat VS;SH;;B, C, O, P, S;;
CH41328451;41328451;Paupe Sarl Abattoir;Rue De L'eglise 14;2822;Courroux JU;SH, CP;;;;
CH41336363;41336363;Trummer Marcel Abattoir;Grand-Rue 16;2345;Les Breuleux JU;SH, CP; SH (II),  CP (II);B, C, O, P;;
CH41336667;41336667;Bilat Pierre Abattoir; ;2336;Les Bois JU;SH, CP; SH (II),  CP (II);B, P;;
CH41344631;41344631;Kottelat Marcel Abattoir;Simon-feunat 3;2854;Bassecourt JU;SH, CP;;B, C, O, P, S;;
CH41428731;41428731;Daniel Fleury Abattoir;Rte Principale 37;2923;Courtemaîche JU;SH, CP; SH (II),  CP (II);B, O, P;;
CH41430573;41430573;Neuenschwander Jacques Boucherie; ;; JU;SH, CP;;B, P;;
CH41443897;41443897;Domon Philippe Abattoir;Pl. De La Liberte 1;2942;Alle JU;SH, CP;;B, C, O, P;;
CH41457439;41457439;Vallat Yannick Abattoir;Rue de la Terrière ;2915;Bure JU;SH, CP;;B, O, P;;
CH41677031;41677031;Jobin Bertrand Abattoir;Place du Village ;2714;Les Genevez JU JU;SH, CP;;B, C, O, P;;
CH42163442;42163442;Tschanz Robert SA Abattoir; ;2718;Lajoux JU JU;SH, CP;;B, C, O, P;;
CH42830427;42830427;Schaffter Pierre Abattoir;Brunchenal 2;2806;Mettembert JU;SH, CP;;B, C, O, P;;
CH53923277;53923277;Cerniévillers SA Abattoir; ;2353;Les Pommerats JU;SH, CP;;C, P;;
CH61692926;61692926;Vienat Jean-Paul Abattoir;Ch. Des Romains 1;2908;Grandfontaine JU;SH, CP;;B, O, P;;
CH61692968;61692968;Quiquerez Louis Abattoir;Ch. Des Eperviers 64;2908;Grandfontaine JU;SH, CP;;B, C, O, P, S;;
CH61800956;61800956;Vanhouteghem Michel Abattoir;Fbg De France 9;2900;Porrentruy JU;SH, CP;;B, C, O, P, S;;
CH62339403;62339403;Sauser Francis & Daniella Boucherie;Rue du 23-Juin 2;2340;Le Noirmont JU;SH, CP; SH (II),  CP (II);;;
CH63569388;63569388;Gatherat Alain Abattoir;Rte De France 6;2926;Boncourt JU;SH, CP;;B, O;;
CH64016213;64016213;Stadelmann Joseph Abattoir;Route des Fontaines 22;2952;Cornol JU;SH, CP;;;;
CH66312889;66312889;Paratte Romain Abattoir;Rue des Rangiers 1;2350;Saignelégier JU;SH, CP; SH (II),  CP (II);B, C, O, P;;
CH66645315;66645315;S.KLOETZLI SA ABATTOIR;Rue des Artisans 13;2830;Courrendlin JU;SH, CP;;B, C, O, P, S;;
CH70147711;70147711;Schindler Walter Abattoir;Pre-borbet-dessous ;2854;Bassecourt JU;SH, CP;;B, C, O, P;;
CH70603553;70603553;Terreaux Roland Abattoir;Sous-les-Chênes 188 A ;2944;Bonfol JU;SH, CP;;B;;
CH74779246;41341908;Schafer Julien Abattoir;Grand-Rue 7;2345;Les Breuleux JU;SH, CP; SH (II),  CP (II);B, C, O, P, S;;
TI-40060855;40060855;Gazzoli Francesco;Carrale dell'Organista 4;6517;Arbedo TI;SH;;C, O;;
TI-40099936;40099936;Macelleria Fratelli Freddi;Via Cantonale  ;6655;Intragna TI;SH;;B, C, O, S;;
TI-40172486;40172486;Piccoli Fausto; ;6776;Piotta TI;SH;;B, C, O, P, S;;
TI-63704516;63704516;Cavargna Patrick; ;6713;Malvaglia TI;SH;;B, C, O, P, S;;
TI-69523308;69523308;Mati Macello Ticino SA; ;6705;Cresciano TI;SH;;B, C, O, P, S;;
TI-70678318;70678501;Macello Cassa Bestiame Olivone;c/o Urietti Gino ;6718;Olivone TI;SH;;B, C, O, P, S;;
TI-70678543;70678543;Mattioli Donato;Ex Cantonale Lavorgo  37 A;6746;Lavorgo TI;SH;;B, C, O, P, S;;
TI-70678585;70678585;Tognetti Mario e Angela;La Colombera ;6592;S. Antonino TI;SH;;B, C, O, P, S;;
VS40530349;40530349;Gottfried Zuber AG;Metzgerei ;3922;Stalden VS VS;SH;;B, C, O, P;;
VS40586561;40586561;Metzgerei Eggs; ;3998;Reckingen VS VS;SH;;B, C, O, P, S;;
VS42018154;42018154;Abattoir de la Vallée; ;1874;Champéry VS;SH;;B, C, O, P, S;;
VS64921821;64921821;Abattoirs de Martigny- Borgeaud;Grandes Maresches ;1920;Martigny VS;SH;;B, C, O, P, S;;
VS70678957;70678957;Schlachthaus Gamsen; ;3900;Brig VS;SH;;B, C, O, P, S;;
VS71013706;71013706;Abattoir de la commune;Les Granges ;1922;Salvan VS;SH;;B, C, O;;
VS71511286;71511286;Schlachthof; ;3907;Simplon Dorf VS;SH;;B, C, O, P;;


Sektion II 161 Treffer

Bew.Nr.;BURNR;Name;Strasse;PLZ;Ort/Kanton;Kategorie;weitere Aktivitäten;Spezies;Bem.;
038;71445115;Nestlé Suisse S.A.;Industriestrasse  21;9400;Rorschach SG;CP; CS (0),  RW (0),  CP (I),  CP (III),  MM (V),  MP (V),  PP (VI),  PP (IX),  PP (X),  PP (XII);A, L, R;;
141;52119538;Bell Suisse SA, viande et charcuterie;Chemin du Châtelard 5;1033;Cheseaux-sur-Lausanne VD;CP; RW (0),  WM (0),  SH (I),  CP (I),  MM (V),  MP (V),  PP (VI);A;;
254;1757;Herbert Ospelt Anstalt;Schaanerstrasse 79;9487;Bendern FL;CP; CP (I),  CP (III),  CP (IV),  GHE (IV),  MM (V),  PP (VI),  PP (VIII),  MP (VIII);A, L, R;;
319;75325248;Bigler AG Fleischwaren;Industriestrasse 19;3294;Büren an der Aare BE;CP; CP (I),  MP (V),  PP (VI),  PP (IX);A, L;;
324;40616493;Rapelli SA;Via laveggio 13;6855;Stabio TI;CP; CS (0),  WM (0),  CP (I),  MM (V),  MP (V),  PP (VI);A, L, R;;
357;42917266;Bell Schweiz AG, Geflügel Zell;Zelgmatte 1, Postfach ;6144;Zell LU LU;SH, CP; CP (I),  CP (III),  GHE (IV),  MM (V),  MP (V),  PP (VI);A, L, R;;
358;64743003;Micarna SA Division volaille;rte de l'industrie 25;1784;Courtepin FR;SH, CP; RW (0),  MM (V),  MP (V),  MSM (V),  PP (VI);A;;
40016128;76596187;Suter Viandes SA;Route de Pré au Bruit 3;1844;Villeneuve VD;CP; CS (0),  RW (0),  WM (0),  CP (I),  CP (III),  MM (V),  MP (V),  PP (VI);A, L, R;;
40259126;40259126;Fleischfachgeschäft Fischer AG;Ischimattstrasse 3;4513;Langendorf SO;SH; SH (I);L;;
40278532;40278532;Stübi Robert;Dorfstrasse 45;4713;Matzendorf SO;SH; SH (I),  SH (III);L;;
40411815;40411815;Dorfmetzg Thadeus Wyss;Oberdorfstrasse 15;8153;Rümlang ZH;SH; SH (I),  SH (III);A, L, R;;
40418475;40418475;Peter Korrodi-Merk Metzgerei;Schönenbergstrasse 1;8816;Hirzel ZH;SH; SH (I),  SH (III),  GHE (IV);A, L, R;;
40442263;40442263;Metzgerei Spahni AG;Wegmühlegässli 6;3072;Ostermundigen BE;CP; RW (0),  WM (0),  CP (I),  CP (III),  MP (V),  PP (VI);A, L, R;;
40519738;40519738;Müller Metzgerei AG zum Rössli;Zürichstrasse 35;8306;Brüttisellen ZH;SH; SH (I),  SH (III),  GHE (IV);A, L, R;;
40865893;40865893;Metzgerei U. Fuchs;Dorf  44;9035;Grub AR AR;SH; SH (I),  SH (III),  CP (IV);A, L;;
40900605;40900605;Jean Bänziger jun. Metzgerei & Restaurant Löwen;Unterdorfstrasse 8;9107;Urnäsch AR;SH; SH (I),  SH (III),  CP (IV);A, L;;
40931729;40931729;Adrian Dobler Metzgerei;Eggethof 83;8585;Eggethof TG;SH; SH (I);;;
40977964;40977964;Gebr. René & Markus Felder Metzgerei;Mattenstrasse ;5745;Safenwil AG;SH; SH (I),  SH (III);A, L;;
40990085;40990085;Sandmeier Fleisch und Feinkost AG;Hauptstrasse 27;5742;Kölliken AG;SH; SH (I),  SH (III),  GHE (IV),  MM (V),  MP (V),  MSM (V),  PP (VI),  PP (VIII),  MP (VIII);A, L, R;;
41065048;41065048;Kyburz Hans-Rudolf;Dorfstrasse 32;5242;Lupfig AG;SH; SH (I),  SH (III);A, L;;
41140868;41140868;Büttner Michael;Industriestrasse 15;5303;Würenlingen AG;SH; SH (I),  SH (III),  MM (V),  MP (V);A, L;;
41162814;41162814;Favorit Geflügel AG;Industriering  36;3250;Lyss BE;CP; RW (0),  WM (0),  MP (V);A;;
41251804;41251804;B. & G. Brunner-Reif Dorfmetzgerei;Tösstalstrasse 67;8488;Turbenthal ZH;SH; SH (I),  SH (III),  GHE (IV);A, L, R;;
41344998;41344998;Genossenschaft Migros Aare, Produktion Fleisch;Industriestrasse 9;3321;Schönbühl Einkaufszentrum BE;CP; RW (0),  WM (0),  CP (I),  CP (III),  MM (V),  MP (V),  PP (VI);A, L;;
41460159;41460159;Liechti-Spring Markus;Dorf ;3538;Röthenbach im Emmental BE;SH; SH (I),  SH (III);A;;
41554278;41554278;Genossenschaft Migros Luzern, in Dierikon;Industriestrasse 2;6036;Dierikon LU;CP; CP (I),  MM (V),  MP (V),  PP (VI);A;;
41563932;41563932;O. Dormann AG Metzgerei oDo-Produkte;Schubertstrasse 6;6004;Luzern LU;CP; CP (I),  CP (III),  MP (V),  PP (VI);A;;
41683983;41683983;Hugo Willimann AG, Spezialitäten-Metzg;Luzernstrasse  1;6252;Dagmersellen LU;CP; CP (I),  MP (V),  PP (VI);A, L;;
41686937;41686937;Klostermetzgerei Haas AG;Murhofstr. 2;4915;St. Urban LU;CP; SH (I),  CP (I),  SH (III),  CP (III),  MP (V),  PP (VI);A, L;;
41980408;41980408;Lorétan AG;Freiburgstrasse ;1784;Courtepin FR;SH; SH (I);L;;
42415482;;Limacher - Gisler Markus;Blasenberg, Zugerberg 2;6300;Zug ZG;SH;;A;;
42597304;42597304;Eberle Cornel;Aachen ;9402;Mörschwil SG;SH;;R;;
43313594;43313594;René Rohner Erlenhof;Auenfeld ;8500;Frauenfeld TG;SH, CP;;R;;
43363946;43363946;Bruno Styger;Gisenrüti ;8820;Wädenswil ZH;SH; SH (I),  SH (III),  GHE (IV);A, L, R;;
43422418;43422418;Ulrich Bamert-Bischofberger;Grund  565;9044;Wald AR AR;SH; SH (I),  SH (III),  CP (IV);A, L;;
43483452;43483452;Rudolf Wettstein;Rickenbach ;8636;Wald ZH;SH; SH (I),  SH (III),  GHE (IV);A, L, R;;
43862210;43862210;Lukas Vock Wendelinhof;Rebenackerweg 2;5524;Niederwil AG AG;SH;;A;;
43927915;43927915;Jeanneret Roland;Le Sapelet 4 ;2105;Travers NE;SH;;A, L;;
45253220;45253220;Geiser AG;Rietbachstrasse 11 ;8952;Schlieren ZH;CP; CS (0),  RW (0),  WM (0),  CP (I),  CP (III),  CP (IV),  GHE (IV),  MM (V),  MP (V),  MSM (V),  PP (VI);A, L, R;;
45523851;73824976;Proferme SA;ch. Des Mattines 20;1258;Perly GE;SH;;A;;
46561345;46561345;Heinz Kummer Metzgerei Löwen;Dorfstrasse 90;8912;Obfelden ZH;SH; SH (I),  SH (III),  GHE (IV);A, L, R;;
46719856;46719856;Kneuss Ernst Geflügel AG;Eichlistrasse 5;5506;Mägenwil AG;SH, CP; CS (0),  RW (0),  PP (VI);A;;
46733798;46733798;Gloor Hansruedi;Teufenthalerstr. 27;5724;Dürrenäsch AG;SH; SH (I),  SH (III);A, L;;
46906385;46906385;Scholl Fleisch- & Feinkost AG André;Kronengasse 3;2545;Selzach SO;SH; SH (I),  SH (III);L;;
50049731;50049731;Jürg Forrer Metzgerei Ochsen Metzgerei;Hauptstrasse  155;9055;Bühler AR;SH; SH (I),  SH (III),  CP (IV);A, L;;
50058322;50058322;Metzgerei zum Sternen Familie Hacker;Züricherstrasse 19;8424;Embrach ZH;SH; SH (I),  SH (III),  GHE (IV);A, L, R;;
51110790;51110790;Abattoir Michel Sunier;Lordel ;2073;Enges NE;SH; SH (I);A;;
51121153;74162186;G. M. Viande de Chevaline en Gros G. Mueller;Les Petits Champs 1;1400;Yverdon-les Bains VD;CP; CS (0),  RW (0),  WM (0),  CP (I),  CP (III),  CP (IV),  PP (VI);A, L, R;;
51370354;51370354;F.lli Terrani SA;Via Cremignone 2;6924;Sorengo TI;CP; WM (0),  CP (I),  MM (V),  MP (V),  WM (VIII);A, L;;
51940678;51940678;Breitenmoser Appenzeller Fleischspezialitäten AG;Sägehüslistrasse 12;9050;Appenzell AI;CP; CP (I),  CP (III),  CP (IV),  PP (VI),  PP (VIII),  MP (VIII);A, L;;
51982222;76427385;Lehnherr S.A.;Chemin des Chapons-des-Prés 18;2022;Bevaix NE;CP; RW (0),  CP (I),  CP (III),  CP (IV),  PP (VI),  DC (VII),  PP (VIII),  FFPP (VIII);A, L, R;;
52208224;52208224;Ernst Sutter AG Viaca;Schaubernstrasse 2;6232;Geuensee LU;CP; CP (I),  MP (V),  PP (VI);A;;
52237948;52237948;Reichmuth Fleischwaren AG;Schützenstrasse 43;6430;Schwyz SZ;CP; SH (I),  CP (I),  PP (VI);A, L;;
52410537;52410537;Regionale Notschlachtanlage & Tierkörpersammelstelle Vorderland;Holz ;9427;Wolfhalden AR;SH; SH (I),  SH (III),  CP (IV);A, L;;
52418960;52418960;Bezirksverwaltung Appenzell Schlachthaus;Weissbadstrasse 49;9050;Appenzell AI;SH; SH (I),  SH (III),  CP (IV);A, L;;
52616580;52616580;Universität Zürich Vetsuisse-Fakultät;Winterthurerstrasse 260;8057;Zürich ZH;SH; SH (I),  SH (III),  GHE (IV);A, L, R;;
53198735;53198735;Friedrich Ammann Metzgerei & Wursterei;Dorf 26;9064;Hundwil AR;SH; SH (I),  SH (III),  CP (IV);A, L;;
53221394;53221394;Mulhaupt Comestibles;Route de la Charbonnière 1;1032;Romanel-sur-Lausanne VD;CP; CS (0),  RW (0),  WM (0),  CP (I),  CP (III),  CP (IV),  GHE (IV),  PP (VI),  DC (VII),  WM (VIII),  PP (VIII),  FFPP (VIII),  PP (XI);A, L, R;;
53253307;53253307;Fässler Franz;Rinkenbach  33;9050;Appenzell AI;CP; CP (I),  CP (III),  CP (IV),  PP (VI),  PP (VIII);A, L;;
54344840;54344840;Blatter Metzgerei AG;Wiler Str. 8;9517;Mettlen TG;SH, CP; SH (I),  CP (I),  CP (IV),  GHE (IV),  MP (V),  PP (VI);L;;
54430321;54430321;Frifag Märwil AG; ;; TG;SH, CP; CS (0),  RW (0),  MM (V),  MP (V),  MSM (V),  PP (XIII);A;;
54596120;54596120;Wölflinswil Milchgenossenschaft;Gemeindehof  176;5063;Wölflinswil AG;SH; SH (I),  SH (III);A, L;;
55483576;75550579;A. et P. Santos, commerce de poissons;Les Charrières ;1445;Vuiteboeuf VD;CP; CS (0),  RW (0),  WM (0),  CP (I),  CP (III),  WM (VIII),  FFPP (VIII);A;;
60081484;60081484;Viandes Riviera;Rue du Collège 42;1815;Clarens VD;CP; CS (0),  RW (0),  WM (0),  CP (I),  CP (III),  CP (IV),  GHE (IV),  MM (V),  MP (V),  PP (VI),  WM (VIII),  PP (VIII),  MP (VIII),  PP (XI),  PP (XII),  PP (XIII);A, L, R;;
61184033;61184033;Sennereigenossenschaft Girenbad;Höhenstrasse 112;8340;Hinwil ZH;SH; SH (I),  SH (III),  GHE (IV);A, L, R;;
61673441;61673441;Spezialitäten Metzg Wetter, Markus Wetter;Dorfstrasse 44;9108;Gonten AI;CP; CP (I),  CP (III),  CP (IV),  PP (VI);A, L, R;;
61942466;61942466;Grün Stadt Zürich  Wildpark Langenberg;Albisstrasse 4;8135;Langau am Albis ZH;SH; SH (I),  SH (III),  GHE (IV);A, L, R;;
63343008;63343008;Näf Felix Kaninchenfleisch;Isenbergschwil ;5637;Beinwil (Freiamt) AG;SH;;L;;
63344195;63344195;Kan u Gef-Metzgerei;Brügglimattweg 4;3282;Bargen BE BE;SH;;L;;
64272406;64272406;Heinzer Metzgerei GmbH;Hauptstrasse 23;6436;Muotathal SZ;CP; SH (I),  CP (I),  PP (VI);A, L;;
64702269;64702269;appenzeller fleisch und feinkost ag, rufag;Unterschlatt 469;9050;Appenzell AI;SH; SH (I),  SH (III),  CP (IV);A, L;;
65277044;65277044;Christian Kopp Kundenmetzgerei;Läderachen ;3453;Heimisbach BE;SH;;A;;
65350977;65350977;Schlachtanlage Bödemli AG;Turbachstrasse ;3780;Gstaad BE;SH; SH (I),  SH (III);R;;
